תשלחום,ref-sifre-n.1.5.217
ר׳,ref-sifre-n.1.5.218
עקיבא,ref-sifre-n.1.5.219
אומר,ref-sifre-n.1.5.220
מזכר,ref-sifre-n.1.5.221
עד,ref-sifre-n.1.5.222
נקבה,ref-sifre-n.1.5.223
תשלחו,ref-sifre-n.1.5.224
א׳,ref-sifre-n.1.5.225
אדם,ref-sifre-n.1.5.226
וא׳,ref-sifre-n.1.5.227
כלים,ref-sifre-n.1.5.228
במשמע,ref-sifre-n.1.5.229
ר׳,ref-sifre-n.1.5.230
ישמעאל,ref-sifre-n.1.5.231
אומר,ref-sifre-n.1.5.232
הרי,ref-sifre-n.1.5.233
אתה,ref-sifre-n.1.5.234
דן,ref-sifre-n.1.5.235
הואיל,ref-sifre-n.1.5.236
ואדם,ref-sifre-n.1.5.237
מטמא,ref-sifre-n.1.5.238
בנגעים,ref-sifre-n.1.5.239
וכלים,ref-sifre-n.1.5.240
מטמאים,ref-sifre-n.1.5.241
בנגעים,ref-sifre-n.1.5.242
מה,ref-sifre-n.1.5.243
אדם,ref-sifre-n.1.5.244
טעון,ref-sifre-n.1.5.245
שלוח,ref-sifre-n.1.5.246
אף,ref-sifre-n.1.5.247
כלים,ref-sifre-n.1.5.248
טעונים,ref-sifre-n.1.5.249
שלוח,ref-sifre-n.1.5.250
לא,ref-sifre-n.1.5.251
אם,ref-sifre-n.1.5.252
אמרת,ref-sifre-n.1.5.253
באדם,ref-sifre-n.1.5.254
שמטמה,ref-sifre-n.1.5.255
על,ref-sifre-n.1.5.256
גבי,ref-sifre-n.1.5.257
משכב,ref-sifre-n.1.5.258
ומושב,ref-sifre-n.1.5.259
לפיכך,ref-sifre-n.1.5.260
טעון,ref-sifre-n.1.5.261
שלוח,ref-sifre-n.1.5.262
תאמר,ref-sifre-n.1.5.263
