lemma,pointer_in_volume,provenance
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-13,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-14,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-15,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-16,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-17,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-18,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-19,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-20,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-21,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-22,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-23,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-24,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-25,[Palestine?] 
